Title,Author,Language,Link,Download
Teach Yourself Zulu Complete Course for Beginners,,afrikaans,https://en.z-lib.gs/book/2996505/ff0a25/teach-yourself-zulu-complete-course-for-beginners.html,https://en.z-lib.gs/dl/2996505/c89429
English Yoruba Dictionary,,afrikaans,https://en.z-lib.gs/book/3163973/69bf8c/english-yoruba-dictionary.html,https://en.z-lib.gs/dl/3163973/6e07a4
Liewe Heksie se groot omnibus,,afrikaans,https://en.z-lib.gs/book/11563380/8de054/liewe-heksie-se-groot-omnibus.html,https://en.z-lib.gs/dl/11563380/ad91e4
Hartklop - Omnibus 02,,afrikaans,https://en.z-lib.gs/book/5312772/8a4cb5/hartklop-omnibus-02.html,https://en.z-lib.gs/dl/5312772/1702e0
Minder as niks (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/19251216/d8da08/minder-as-niks-afrikaans-edition.html,https://en.z-lib.gs/dl/19251216/55e3c8
Jy Is Huis Vir My,,afrikaans,https://en.z-lib.gs/book/5351078/193fba/jy-is-huis-vir-my.html,https://en.z-lib.gs/dl/5351078/ec043f
ወዳጀ ልቤና ሌሎችም,,amharic,https://en.z-lib.gs/book/1054392/7e2b0c/%E1%8B%88%E1%8B%B3%E1%8C%80-%E1%88%8D%E1%89%A4%E1%8A%93-%E1%88%8C%E1%88%8E%E1%89%BD%E1%88%9D.html,https://en.z-lib.gs/dl/1054392/7cc071
Hartklop - Omnibus 04,,afrikaans,https://en.z-lib.gs/book/5312774/7130cf/hartklop-omnibus-04.html,https://en.z-lib.gs/dl/5312774/ae893e
1 Recce: Die nag behoort aan ons,,afrikaans,https://en.z-lib.gs/book/5873789/7c563c/1-recce-die-nag-behoort-aan-ons.html,https://en.z-lib.gs/dl/5873789/870b42
Comprehensive Igbo Language: A Contemporary Guide for Beginners and Intermediate Learners,,igbo,https://en.z-lib.gs/book/11368323/84a127/comprehensive-igbo-language-a-contemporary-guide-for-beginners-and-intermediate-learners.html,https://en.z-lib.gs/dl/11368323/798e69
Moord-en-roof. In die kop van 'n baasspeurder,,afrikaans,https://en.z-lib.gs/book/2541283/3545c8/moordenroof-in-die-kop-van-n-baasspeurder.html,https://en.z-lib.gs/dl/2541283/c97731
Hartklop - Omnibus 01,,afrikaans,https://en.z-lib.gs/book/5312771/eca6f6/hartklop-omnibus-01.html,https://en.z-lib.gs/dl/5312771/346669
Louisa du Toit - Omnibus 03 (Melodie),,afrikaans,https://en.z-lib.gs/book/5312777/ca4b52/louisa-du-toit-omnibus-03-melodie.html,https://en.z-lib.gs/dl/5312777/e35d58
Ikarus,,afrikaans,https://en.z-lib.gs/book/5351067/98d59e/ikarus.html,https://en.z-lib.gs/dl/5351067/f4593d
Speurder Kwaaikofski 1: Die kougomstrik,,afrikaans,https://en.z-lib.gs/book/4178466/e1264a/speurder-kwaaikofski-1-die-kougomstrik.html,https://en.z-lib.gs/dl/4178466/22a600
Omnibus 21,,afrikaans,https://en.z-lib.gs/book/5351082/b325df/omnibus-21.html,https://en.z-lib.gs/dl/5351082/0a8e84
Donkerdrif (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/19252103/2f3bde/donkerdrif-afrikaans-edition.html,https://en.z-lib.gs/dl/19252103/4b01e8
Visioene van Siener v Rensburg 1916 - 1926,,afrikaans,https://en.z-lib.gs/book/5320971/f8ba98/visioene-van-siener-v-rensburg-1916-1926.html,https://en.z-lib.gs/dl/5320971/7b7e2f
ኦሮማይ - Oromay,,amharic,https://en.z-lib.gs/book/1050019/31d464/%E1%8A%A6%E1%88%AE%E1%88%9B%E1%8B%AD-oromay.html,https://en.z-lib.gs/dl/1050019/faae07
Volmaan (Romanza),,afrikaans,https://en.z-lib.gs/book/5320955/71c623/volmaan-romanza.html,https://en.z-lib.gs/dl/5320955/1db9eb
Liefde in die Ou Kaap Omnibus,,afrikaans,https://en.z-lib.gs/book/5351599/5a8cad/liefde-in-die-ou-kaap-omnibus.html,https://en.z-lib.gs/dl/5351599/958511
Die dooies praat nie (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/17050142/f4e74a/die-dooies-praat-nie-afrikaans-edition.html,https://en.z-lib.gs/dl/17050142/24627b
Onweerstaanbare passie - Omnibus (Romanza),,afrikaans,https://en.z-lib.gs/book/19253214/6c650b/onweerstaanbare-passie-omnibus-romanza.html,https://en.z-lib.gs/dl/19253214/cc940e
Afrikaans sonder grense: 11 Eerste addisionele taal,,afrikaans,https://en.z-lib.gs/book/3679149/77ccde/afrikaans-sonder-grense-11-eerste-addisionele-taal.html,https://en.z-lib.gs/dl/3679149/a0f04a
Op soek na 'n held,,afrikaans,https://en.z-lib.gs/book/5351045/19c426/op-soek-na-n-held.html,https://en.z-lib.gs/dl/5351045/a674ad
Die Brug: Na die hel en terug in Angola (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5867228/c54191/die-brug-na-die-hel-en-terug-in-angola-afrikaans-edition.html,https://en.z-lib.gs/dl/5867228/430589
Omnibus 6,,afrikaans,https://en.z-lib.gs/book/5312783/318cc2/omnibus-6.html,https://en.z-lib.gs/dl/5312783/3e8bca
Spoor,,afrikaans,https://en.z-lib.gs/book/5351072/02a76f/spoor.html,https://en.z-lib.gs/dl/5351072/0f5294
Omnibus 1,,afrikaans,https://en.z-lib.gs/book/5312778/20aeb8/omnibus-1.html,https://en.z-lib.gs/dl/5312778/000349
Slagyster,,afrikaans,https://en.z-lib.gs/book/5351590/1be212/slagyster.html,https://en.z-lib.gs/dl/5351590/ce1321
Die ooreenkoms,,afrikaans,https://en.z-lib.gs/book/5351628/6f19fa/die-ooreenkoms.html,https://en.z-lib.gs/dl/5351628/063c17
#liefvirjou (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5792025/d06166/liefvirjou-afrikaans-edition.html,https://en.z-lib.gs/dl/5792025/189261
Kringe in 'n bos,,afrikaans,https://en.z-lib.gs/book/5351063/c2362a/kringe-in-n-bos.html,https://en.z-lib.gs/dl/5351063/f8fb13
Orion,,afrikaans,https://en.z-lib.gs/book/5351071/58aebe/orion.html,https://en.z-lib.gs/dl/5351071/6c8d77
Kobra,,afrikaans,https://en.z-lib.gs/book/5351069/aa8e05/kobra.html,https://en.z-lib.gs/dl/5351069/25e28a
Kidagaa kimemwozea,,swahili,https://en.z-lib.gs/book/22460347/2dbe70/kidagaa-kimemwozea.html,https://en.z-lib.gs/dl/22460347/a91ac4
Hartedief (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/19251576/85c608/hartedief-afrikaans-edition.html,https://en.z-lib.gs/dl/19251576/24b179
"'n Kameel, 'n sprinkaan en 'n vrot tamatie",,afrikaans,https://en.z-lib.gs/book/4140356/d0ec2a/n-kameel-n-sprinkaan-en-n-vrot-tamatie.html,https://en.z-lib.gs/dl/4140356/5d3e36
Splinters van liefde - Omnibus (Romanza),,afrikaans,https://en.z-lib.gs/book/19234842/987a12/splinters-van-liefde-omnibus-romanza.html,https://en.z-lib.gs/dl/19234842/2adae7
7 Dae,,afrikaans,https://en.z-lib.gs/book/5351065/5a6237/7-dae.html,https://en.z-lib.gs/dl/5351065/2541d3
Altyd net jy,,afrikaans,https://en.z-lib.gs/book/5792008/997209/altyd-net-jy.html,https://en.z-lib.gs/dl/5792008/ccc307
Omnibus 8,,afrikaans,https://en.z-lib.gs/book/5351601/4028eb/omnibus-8.html,https://en.z-lib.gs/dl/5351601/7b15fb
Middernagminnaar,,afrikaans,https://en.z-lib.gs/book/5351276/849ca0/middernagminnaar.html,https://en.z-lib.gs/dl/5351276/1e462d
Misverstand (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5351512/faf92c/misverstand-afrikaans-edition.html,https://en.z-lib.gs/dl/5351512/8264a6
Ranna03_Sondebok,,afrikaans,https://en.z-lib.gs/book/5351387/ef4287/ranna03sondebok.html,https://en.z-lib.gs/dl/5351387/314cf6
Die Snip Van Sesdorings,,afrikaans,https://en.z-lib.gs/book/5351325/05c040/die-snip-van-sesdorings.html,https://en.z-lib.gs/dl/5351325/fe4029
Maelezo ya methali za Kiswahili,,swahili,https://en.z-lib.gs/book/3200365/bd06dc/maelezo-ya-methali-za-kiswahili.html,https://en.z-lib.gs/dl/3200365/110a71
公共基础知识.txt,,hausa,https://en.z-lib.gs/book/16240890/ac82f4/%E5%85%AC%E5%85%B1%E5%9F%BA%E7%A1%80%E7%9F%A5%E8%AF%86txt.html,https://en.z-lib.gs/dl/16240890/a0c89c
Afrikaans sonder grense: 12 Eerste addisionele taal,,afrikaans,https://en.z-lib.gs/book/3679151/2c276e/afrikaans-sonder-grense-12-eerste-addisionele-taal.html,https://en.z-lib.gs/dl/3679151/4ac258
Party dinge is vir altyd (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/19314706/5fb71f/party-dinge-is-vir-altyd-afrikaans-edition.html,https://en.z-lib.gs/dl/19314706/df632f
Aan die einde van die reënboog,,afrikaans,https://en.z-lib.gs/book/3996800/0b8ecd/aan-die-einde-van-die-re%C3%ABnboog.html,https://en.z-lib.gs/dl/3996800/8a24f9
Thirteen Cents: A Novel (Modern African Writing Series),,afrikaans,https://en.z-lib.gs/book/5351408/082cac/thirteen-cents-a-novel-modern-african-writing-series.html,https://en.z-lib.gs/dl/5351408/4480b9
Omnibus 40,,afrikaans,https://en.z-lib.gs/book/5351090/565ab6/omnibus-40.html,https://en.z-lib.gs/dl/5351090/c0d8b0
የሳይንስና ቴክኖሎጂ መዝገበ ቃላት (እንግሊዝኛ - አማርኛ) = Science and Technology Dictionary (English - Amharic),,amharic,https://en.z-lib.gs/book/2987910/87d6dd/%E1%8B%A8%E1%88%B3%E1%8B%AD%E1%8A%95%E1%88%B5%E1%8A%93-%E1%89%B4%E1%8A%AD%E1%8A%96%E1%88%8E%E1%8C%82-%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0-%E1%89%83%E1%88%8B%E1%89%B5-%E1%8A%A5%E1%8A%95%E1%8C%8D%E1%88%8A%E1%8B%9D%E1%8A%9B-%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B-science-and-technology-dictionary-english-amharic.html,https://en.z-lib.gs/dl/2987910/4b4bec
Kopskoot,,afrikaans,https://en.z-lib.gs/book/5351589/f1c467/kopskoot.html,https://en.z-lib.gs/dl/5351589/8e1ff0
Stories vir die kleingoed (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5659526/fd4e7d/stories-vir-die-kleingoed-afrikaans-edition.html,https://en.z-lib.gs/dl/5659526/38dec9
Onderwêreld (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/19244372/2ea7f6/onderw%C3%AAreld-afrikaans-edition.html,https://en.z-lib.gs/dl/19244372/182eb3
Abel se lot,,afrikaans,https://en.z-lib.gs/book/3997003/4fae84/abel-se-lot.html,https://en.z-lib.gs/dl/3997003/0dcd12
መጽሐፈ፡ሰዋስው፡ወግስ፡ወመዝገበ፡ቃላት፡ሐዲስ።,,amharic,https://en.z-lib.gs/book/1200526/dd4c6a/%E1%88%98%E1%8C%BD%E1%88%90%E1%8D%88%E1%88%B0%E1%8B%8B%E1%88%B5%E1%8B%8D%E1%8B%88%E1%8C%8D%E1%88%B5%E1%8B%88%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0%E1%89%83%E1%88%8B%E1%89%B5%E1%88%90%E1%8B%B2%E1%88%B5.html,https://en.z-lib.gs/dl/1200526/5312e3
Karoonag en ander verhale,,afrikaans,https://en.z-lib.gs/book/5351068/ed994b/karoonag-en-ander-verhale.html,https://en.z-lib.gs/dl/5351068/c4fa8b
Ena Murray - omnibus 36,,afrikaans,https://en.z-lib.gs/book/5351086/364f90/ena-murray-omnibus-36.html,https://en.z-lib.gs/dl/5351086/6046ae
Omnibus 3,,afrikaans,https://en.z-lib.gs/book/5312780/e60723/omnibus-3.html,https://en.z-lib.gs/dl/5312780/df4a7c
በአዲስ ስርዓት የተሰናዳ የአማርኛ ሰዋስው,,amharic,https://en.z-lib.gs/book/1128059/78410a/%E1%89%A0%E1%8A%A0%E1%8B%B2%E1%88%B5-%E1%88%B5%E1%88%AD%E1%8B%93%E1%89%B5-%E1%8B%A8%E1%89%B0%E1%88%B0%E1%8A%93%E1%8B%B3-%E1%8B%A8%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B-%E1%88%B0%E1%8B%8B%E1%88%B5%E1%8B%8D.html,https://en.z-lib.gs/dl/1128059/2a0333
Vergeet van reëls (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/19241969/bf7b9a/vergeet-van-re%C3%ABls-afrikaans-edition.html,https://en.z-lib.gs/dl/19241969/30e894
Ratels aan die Lomba: Die storie van Charlie-eskadron (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5867353/414069/ratels-aan-die-lomba-die-storie-van-charlieeskadron-afrikaans-edition.html,https://en.z-lib.gs/dl/5867353/a48ee1
Nuwe drome - Omnibus (Romanza),,afrikaans,https://en.z-lib.gs/book/19266136/725669/nuwe-drome-omnibus-romanza.html,https://en.z-lib.gs/dl/19266136/e05337
Afrikaans sonder grense: 9 Eerste addisionele taal,,afrikaans,https://en.z-lib.gs/book/11641025/062cd1/afrikaans-sonder-grense-9-eerste-addisionele-taal.html,https://en.z-lib.gs/dl/11641025/7c2199
ዐዲስ፡ያማርኛ፡መዝገበ፡ቃላት,,amharic,https://en.z-lib.gs/book/1203994/c718b8/%E1%8B%90%E1%8B%B2%E1%88%B5%E1%8B%AB%E1%88%9B%E1%88%AD%E1%8A%9B%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0%E1%89%83%E1%88%8B%E1%89%B5.html,https://en.z-lib.gs/dl/1203994/37a615
Leer my liefhê (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5351268/56c3b7/leer-my-liefh%C3%AA-afrikaans-edition.html,https://en.z-lib.gs/dl/5351268/04760e
Om jou te vind - Omnibus (Romanza),,afrikaans,https://en.z-lib.gs/book/19266113/75dbfb/om-jou-te-vind-omnibus-romanza.html,https://en.z-lib.gs/dl/19266113/870b4f
"Dis Ek, Anna: Die Volle Verhaal",,afrikaans,https://en.z-lib.gs/book/5650821/674c8b/dis-ek-anna-die-volle-verhaal.html,https://en.z-lib.gs/dl/5650821/27029d
The Science of Sexual Fantasy and Desire,,oromo,https://en.z-lib.gs/book/19232751/aa1aa8/the-science-of-sexual-fantasy-and-desire.html,https://en.z-lib.gs/dl/19232751/dac634
Ter wille van ’n erfgenaam (Modern) (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5312697/4c5097/ter-wille-van-n-erfgenaam-modern-afrikaans-edition.html,https://en.z-lib.gs/dl/5312697/5b92f9
Hartklop - Omnibus 03,,afrikaans,https://en.z-lib.gs/book/5312773/0c285c/hartklop-omnibus-03.html,https://en.z-lib.gs/dl/5312773/db4011
Malan02_'n Nuwe lente,,afrikaans,https://en.z-lib.gs/book/5351633/913b87/malan02n-nuwe-lente.html,https://en.z-lib.gs/dl/5351633/b45d18
እንጉርጉሮ,,amharic,https://en.z-lib.gs/book/1204351/662906/%E1%8A%A5%E1%8A%95%E1%8C%89%E1%88%AD%E1%8C%89%E1%88%AE.html,https://en.z-lib.gs/dl/1204351/9e4c27
Die Bybel 2020-vertaling met Deuterokanonieke boeke (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/11623943/769cf2/die-bybel-2020vertaling-met-deuterokanonieke-boeke-afrikaans-edition.html,https://en.z-lib.gs/dl/11623943/529242
የካም፡መታሰቢያ,,amharic,https://en.z-lib.gs/book/1173431/a63774/%E1%8B%A8%E1%8A%AB%E1%88%9D%E1%88%98%E1%89%B3%E1%88%B0%E1%89%A2%E1%8B%AB.html,https://en.z-lib.gs/dl/1173431/bad82c
Tweede kans op Geluk (Romanza),,afrikaans,https://en.z-lib.gs/book/19242180/57e3e4/tweede-kans-op-geluk-romanza.html,https://en.z-lib.gs/dl/19242180/30db65
Perke (E-rotika),,afrikaans,https://en.z-lib.gs/book/19236547/e0d486/perke-erotika.html,https://en.z-lib.gs/dl/19236547/10162c
Huisgenoot Beste Resepte 100 Jaar se Gunstelinge,,afrikaans,https://en.z-lib.gs/book/19329819/e98a5b/huisgenoot-beste-resepte-100-jaar-se-gunstelinge.html,https://en.z-lib.gs/dl/19329819/ada98f
Bantu Cosmology & the Origins of Egyptian Civilization Notes,,afrikaans,https://en.z-lib.gs/book/3264125/71fd51/bantu-cosmology-the-origins-of-egyptian-civilization-notes.html,https://en.z-lib.gs/dl/3264125/4150bd
Bruid in ’n goue hok (Modern) (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5312651/c38c5a/bruid-in-n-goue-hok-modern-afrikaans-edition.html,https://en.z-lib.gs/dl/5312651/1e79e4
Omnibus 7,,afrikaans,https://en.z-lib.gs/book/5312784/7fb6a9/omnibus-7.html,https://en.z-lib.gs/dl/5312784/c467a9
Helena Hugo Omnibus,,afrikaans,https://en.z-lib.gs/book/5351360/2564d7/helena-hugo-omnibus.html,https://en.z-lib.gs/dl/5351360/305c0d
Snydokter,,afrikaans,https://en.z-lib.gs/book/5351434/62a1b9/snydokter.html,https://en.z-lib.gs/dl/5351434/bd9890
Romanza Omnibus,,afrikaans,https://en.z-lib.gs/book/19263738/b877bd/romanza-omnibus.html,https://en.z-lib.gs/dl/19263738/0eab7a
Meer as net 'n nag,,afrikaans,https://en.z-lib.gs/book/19239945/2d7594/meer-as-net-n-nag.html,https://en.z-lib.gs/dl/19239945/d8940f
ፍቅር እስከ መቃብር,,amharic,https://en.z-lib.gs/book/1045981/613ac0/%E1%8D%8D%E1%89%85%E1%88%AD-%E1%8A%A5%E1%88%B5%E1%8A%A8-%E1%88%98%E1%89%83%E1%89%A5%E1%88%AD.html,https://en.z-lib.gs/dl/1045981/18a94e
Tibetan-English Dictionary of Buddhist Terminology,,tigrinya,https://en.z-lib.gs/book/3139308/ce9d5a/tibetanenglish-dictionary-of-buddhist-terminology.html,https://en.z-lib.gs/dl/3139308/8562cb
Bennie Griessel 1: Infanta,,afrikaans,https://en.z-lib.gs/book/19263728/ea0970/bennie-griessel-1-infanta.html,https://en.z-lib.gs/dl/19263728/53d87c
An Introduction to the Grammar of the Tibetan Language,,tigrinya,https://en.z-lib.gs/book/2982221/a853e2/an-introduction-to-the-grammar-of-the-tibetan-language.html,https://en.z-lib.gs/dl/2982221/554b79
’n Ander vrou se rok (Afrikaans Edition),,afrikaans,https://en.z-lib.gs/book/5351422/da6ac1/n-ander-vrou-se-rok-afrikaans-edition.html,https://en.z-lib.gs/dl/5351422/524157
Anna se man (Afrikaans edition),,afrikaans,https://en.z-lib.gs/book/19242224/0f9879/anna-se-man-afrikaans-edition.html,https://en.z-lib.gs/dl/19242224/71e0b5
