Title,Language,Link,Download
Om jou te vind - Omnibus (Romanza),afrikaans,https://en.z-lib.gs/book/19266113/75dbfb/om-jou-te-vind-omnibus-romanza.html,https://en.z-lib.gs/dl/19266113/c5d8cb
"Dis Ek, Anna: Die Volle Verhaal",afrikaans,https://en.z-lib.gs/book/5650821/674c8b/dis-ek-anna-die-volle-verhaal.html,https://en.z-lib.gs/dl/5650821/c931e8
The Science of Sexual Fantasy and Desire,oromo,https://en.z-lib.gs/book/19232751/aa1aa8/the-science-of-sexual-fantasy-and-desire.html,https://en.z-lib.gs/dl/19232751/8f5bbb
Ter wille van ’n erfgenaam (Modern) (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5312697/4c5097/ter-wille-van-n-erfgenaam-modern-afrikaans-edition.html,https://en.z-lib.gs/dl/5312697/1e724b
Hartklop - Omnibus 03,afrikaans,https://en.z-lib.gs/book/5312773/0c285c/hartklop-omnibus-03.html,https://en.z-lib.gs/dl/5312773/1b5285
Malan02_'n Nuwe lente,afrikaans,https://en.z-lib.gs/book/5351633/913b87/malan02n-nuwe-lente.html,https://en.z-lib.gs/dl/5351633/9fc935
እንጉርጉሮ,amharic,https://en.z-lib.gs/book/1204351/662906/%E1%8A%A5%E1%8A%95%E1%8C%89%E1%88%AD%E1%8C%89%E1%88%AE.html,https://en.z-lib.gs/dl/1204351/195c4b
Die Bybel 2020-vertaling met Deuterokanonieke boeke (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/11623943/769cf2/die-bybel-2020vertaling-met-deuterokanonieke-boeke-afrikaans-edition.html,https://en.z-lib.gs/dl/11623943/098e1e
የካም፡መታሰቢያ,amharic,https://en.z-lib.gs/book/1173431/a63774/%E1%8B%A8%E1%8A%AB%E1%88%9D%E1%88%98%E1%89%B3%E1%88%B0%E1%89%A2%E1%8B%AB.html,https://en.z-lib.gs/dl/1173431/6991ba
Tweede kans op Geluk (Romanza),afrikaans,https://en.z-lib.gs/book/19242180/57e3e4/tweede-kans-op-geluk-romanza.html,https://en.z-lib.gs/dl/19242180/e2635d
Perke (E-rotika),afrikaans,https://en.z-lib.gs/book/19236547/e0d486/perke-erotika.html,https://en.z-lib.gs/dl/19236547/3c342f
